jockey_name,jockey_id,category,rides_total,rides_jra,rides_nar,nige_rate,senko_rate,mae_iki_rate,chudan_rate,koho_rate,avg_pos1c_rel,ds_rides,ds_nige_rate,ds_senko_rate,ds_mae_iki_rate,ns_rides,ns_koho_rate,wins,win_rate,recent_rides,recent_nige_rate,recent_mae_iki_rate
和田竜,01018,JRA,2420,2420,0,9.3,25.66,34.96,38.64,21.16,0.4061,752,0.93,12.9,13.83,368,1.09,122,5.04,413,8.72,32.45
永井孝典,a0395,NAR,2406,0,2406,6.77,17.33,24.11,29.26,49.67,0.6008,1127,0.89,9.85,10.74,354,7.63,176,7.32,588,9.86,27.72
団野,01180,JRA,2405,2405,0,10.02,22.04,32.06,35.68,27.65,0.4357,1094,1.1,11.79,12.89,520,1.73,184,7.65,685,10.95,37.08
吉原寛人,05299,NAR,2378,0,2378,16.82,23.72,40.54,28.13,36.59,0.4906,911,2.52,12.95,15.48,755,9.8,580,24.39,612,14.54,35.95
山口勲,05229,JRA+NAR,2376,1,2375,15.11,26.68,41.79,36.2,26.98,0.446,718,3.9,19.22,23.12,729,8.23,524,22.05,609,16.42,45.48
田中直人,05491,NAR,2375,0,2375,10.74,20.59,31.33,25.98,45.31,0.5552,1149,3.22,14.53,17.75,373,7.51,167,7.03,620,12.26,31.77
本橋孝太,05488,NAR,2348,0,2348,7.84,20.74,28.58,26.66,46.81,0.5625,946,1.37,11.73,13.11,284,5.63,227,9.67,542,6.83,24.91
岡村卓弥,a0270,NAR,2325,0,2325,11.66,22.8,34.45,31.14,39.14,0.5173,1034,1.35,15.86,17.21,413,3.87,239,10.28,623,7.38,30.5
小野楓馬,05592,NAR,2319,0,2319,13.54,28.72,42.26,37.04,27.64,0.4502,1020,1.86,17.84,19.71,600,1.0,272,11.73,863,14.02,43.8
山崎誠士,05365,NAR,2303,0,2303,13.24,18.02,31.26,29.96,40.82,0.5153,788,2.03,10.03,12.06,390,5.64,300,13.03,283,11.66,30.04
岩橋勇二,05389,NAR,2294,0,2294,11.16,22.23,33.39,36.27,35.66,0.5052,1155,1.99,10.91,12.9,504,0.99,236,10.29,785,12.99,34.78
大坪慎,05462,NAR,2287,0,2287,7.96,19.28,27.24,33.93,43.16,0.5571,1276,1.02,11.68,12.7,338,3.25,127,5.55,856,6.66,23.83
阿部龍,05492,JRA+NAR,2270,3,2267,9.82,19.47,29.3,29.03,47.22,0.5708,1215,0.91,8.89,9.79,434,7.37,244,10.75,755,10.07,29.14
山下裕貴,05501,NAR,2257,0,2257,13.74,24.81,38.55,27.34,36.95,0.504,897,4.12,16.95,21.07,393,5.6,235,10.41,658,12.46,36.93
藤原幹生,05521,NAR,2252,0,2252,9.37,19.01,28.37,26.33,53.95,0.6141,1162,3.36,9.04,12.39,244,4.92,236,10.48,540,9.44,27.04
阿部英俊,05119,NAR,2224,0,2224,6.47,17.09,23.56,28.06,52.25,0.6082,1342,0.82,9.02,9.84,373,2.41,153,6.88,829,6.15,25.09
竹村達也,05474,NAR,2217,0,2217,11.86,20.48,32.34,29.86,41.05,0.54,921,1.85,13.57,15.42,340,4.71,164,7.4,542,11.81,31.92
田野豊三,05544,NAR,2209,0,2209,7.61,16.25,23.86,33.54,45.81,0.5691,1093,2.29,9.24,11.53,303,8.91,233,10.55,701,6.99,23.25
山本咲希,05545,NAR,2199,0,2199,11.6,21.51,33.11,32.11,38.84,0.5208,1036,2.22,11.58,13.8,472,4.03,199,9.05,636,12.89,33.65
栗原大河,05556,NAR,2190,0,2190,11.28,28.9,40.18,34.38,36.44,0.5146,1049,2.38,20.78,23.16,478,6.49,327,14.93,721,10.54,40.08
