yyyymm,confidence,skip_aware_strategy,race_played,tansho_played,tansho_hit,tansho_hit_pct,tansho_roi,sanren_played,sanren_hit,sanren_hit_pct,sanren_roi,umaren_ab_played,umaren_ab_hit,umaren_ab_hit_pct,umaren_ab_roi,wide_ab_played,wide_ab_hit,wide_ab_hit_pct,wide_ab_roi
202405,S,BUY,165,165,63,38.18,75.64,165,59,35.76,68.76,330,52,15.76,66.61,330,93,28.18,64.12
202405,A,BUY,213,213,75,35.21,73.05,213,80,37.56,50.49,426,56,13.15,56.50,426,118,27.70,64.30
202405,B,BUY,924,924,266,28.79,76.88,924,335,36.26,59.20,1848,219,11.85,71.77,1848,461,24.95,66.90
202405,C,BUY,103,103,29,28.16,55.63,103,43,41.75,38.93,206,31,15.05,78.11,206,61,29.61,76.50
202406,SS,BUY,104,104,49,47.12,81.92,104,33,31.73,83.92,208,38,18.27,108.65,208,72,34.62,88.22
202406,S,BUY,165,165,75,45.45,79.76,165,54,32.73,72.07,330,50,15.15,67.58,330,92,27.88,64.45
202406,A,BUY,226,226,79,34.96,76.99,226,73,32.30,67.00,452,60,13.27,74.34,452,132,29.20,80.64
202406,B,BUY,930,930,277,29.78,72.17,930,423,45.48,65.12,1860,240,12.90,67.97,1860,556,29.89,74.13
202406,C,BUY,143,143,40,27.97,66.99,143,81,56.64,66.69,286,44,15.38,83.32,286,89,31.12,67.73
202407,SS,BUY,110,110,42,38.18,60.91,110,19,17.27,70.16,220,22,10.00,51.23,220,57,25.91,72.50
202407,S,BUY,150,150,54,36.00,70.67,150,52,34.67,60.10,300,36,12.00,66.20,300,80,26.67,68.47
202407,A,BUY,224,224,73,32.59,83.17,224,70,31.25,46.57,448,48,10.71,50.47,448,109,24.33,57.63
202407,B,BUY,919,919,257,27.97,71.87,919,370,40.26,69.08,1838,240,13.06,90.82,1838,502,27.31,76.85
202407,C,BUY,162,162,46,28.40,56.30,162,92,56.79,52.25,324,42,12.96,52.62,324,101,31.17,70.59
202408,SS,BUY,68,68,34,50.00,84.41,68,15,22.06,123.79,136,22,16.18,107.06,136,38,27.94,76.91
202408,S,BUY,125,125,55,44.00,77.20,125,38,30.40,53.05,250,39,15.60,82.32,250,75,30.00,70.76
202408,A,BUY,213,213,56,26.29,56.06,213,72,33.80,61.39,426,51,11.97,72.04,426,112,26.29,70.75
202408,B,BUY,799,799,254,31.79,76.05,799,347,43.43,60.32,1598,229,14.33,70.63,1598,484,30.29,76.38
202408,C,BUY,144,144,44,30.56,88.68,144,82,56.94,79.69,288,48,16.67,101.98,288,98,34.03,83.16
202409,SS,BUY,78,78,36,46.15,70.64,78,18,23.08,82.18,156,21,13.46,53.08,156,49,31.41,71.15
202409,S,BUY,138,138,60,43.48,79.42,138,56,40.58,70.23,276,43,15.58,84.67,276,86,31.16,86.09
202409,A,BUY,239,239,88,36.82,78.83,239,84,35.15,60.02,478,58,12.13,64.14,478,134,28.03,70.00
202409,B,BUY,860,860,232,26.98,64.38,860,383,44.53,66.82,1720,199,11.57,62.23,1720,440,25.58,66.80
202409,C,BUY,130,130,44,33.85,81.00,130,75,57.69,62.84,260,37,14.23,82.42,260,90,34.62,86.65
202410,SS,BUY,94,94,51,54.26,85.74,94,34,36.17,89.12,188,32,17.02,73.40,188,71,37.77,86.17
202410,S,BUY,154,154,81,52.60,91.95,154,64,41.56,86.18,308,49,15.91,71.79,308,92,29.87,69.90
202410,A,BUY,261,261,85,32.57,67.66,261,98,37.55,61.50,522,85,16.28,66.13,522,166,31.80,76.28
202410,B,BUY,946,946,261,27.59,67.10,946,445,47.04,68.40,1892,245,12.95,71.23,1892,573,30.29,78.91
202410,C,BUY,102,102,24,23.53,64.41,102,50,49.02,77.97,204,21,10.29,57.55,204,55,26.96,65.93
202411,SS,BUY,87,87,41,47.13,79.77,87,23,26.44,82.21,174,23,13.22,50.57,174,55,31.61,74.43
